iter	F1	Logloss
119	0.8360578598	0.4103202253
120	0.8364876697	0.4088861777
121	0.8365393183	0.4083460884
122	0.8368901446	0.4077047176
123	0.8373655988	0.4066501233
124	0.8378928675	0.4052214449
125	0.8383898245	0.4043732569
126	0.8385269093	0.4031682368
127	0.8393658097	0.4025082645
128	0.8396555128	0.4015019343
129	0.840344672	0.4004715748
130	0.8409725289	0.3998759156
131	0.8421234467	0.3989335465
132	0.8429536481	0.3981464149
133	0.8436045852	0.3974722127
134	0.8455498266	0.3964897946
135	0.8464321297	0.3952567549
136	0.8480534135	0.3941497008
137	0.8475745347	0.3929714386
138	0.8486170131	0.3921102238
139	0.8491132044	0.3911980748
140	0.8511528511	0.3900540817
141	0.8516273213	0.3891763778
142	0.8517999872	0.3887614819
143	0.8519016162	0.3878664968
144	0.8523329616	0.3868135161
145	0.8535979942	0.3860610937
146	0.8534851791	0.3848610614
147	0.8538525217	0.3837952592
148	0.8542500943	0.3829835995
149	0.8544066239	0.3824959992
150	0.8547824334	0.3818318019
151	0.8565856103	0.3809456481
152	0.8566505736	0.3805625861
153	0.8574945482	0.3795857132
154	0.8582510685	0.3791674139
155	0.8580833504	0.3783003017
156	0.8589667989	0.3776050628
157	0.8598681639	0.3769094718
158	0.8613720529	0.3757185055
159	0.8615971202	0.3746409967
160	0.861677958	0.3742104039
161	0.8622425444	0.3736485443
162	0.8622985647	0.3726820578
163	0.8626703142	0.3722030541
164	0.8630171148	0.3714644508
165	0.8639674166	0.3706963609
166	0.8656613505	0.3695862554
167	0.8673024059	0.3686867519
168	0.8681389822	0.3679622318
169	0.8674741568	0.3676484413
170	0.8684905841	0.366821202
171	0.8687827538	0.3663573084
172	0.8694419121	0.3655671842
173	0.86937387	0.364772835
174	0.8697255655	0.3643094402
175	0.8697652621	0.3635924898
176	0.8708112101	0.3627016122
177	0.8710464503	0.3620120946
178	0.8719540564	0.3611660192
179	0.8719132395	0.3605156117
180	0.8724909822	0.3600801191
181	0.8726736019	0.3590965861
182	0.8732230613	0.358339792
183	0.8741856505	0.3575829099
184	0.8743115415	0.3570125711
185	0.8747259329	0.3563933226
186	0.8755215406	0.3558524117
187	0.8769204692	0.3549421992
188	0.8771436895	0.3537509981
189	0.877124017	0.3530647959
190	0.8785066024	0.3524375083
191	0.8791545512	0.3517242253
192	0.8797927668	0.3512813098
193	0.880843634	0.3505996846
194	0.8808499651	0.3499882406
195	0.8802732061	0.3493133636
196	0.8802834289	0.3485164325
197	0.8807039647	0.3477506897
198	0.8811614301	0.3474259848
199	0.8815342582	0.3468076165
200	0.8825873075	0.3461408666
201	0.8825541873	0.345590831
202	0.8830582151	0.3449910056
203	0.8832169511	0.3442638448
204	0.8834456312	0.343620743
205	0.8840510905	0.3431249862
206	0.8842068581	0.342659567
207	0.8844835604	0.342038206
208	0.8848753923	0.3413445808
209	0.8849263207	0.340896208
210	0.8853149773	0.3403395709
211	0.8857036187	0.3399254379
